Carimbo de data/hora,"TIPO DE SERVIÇO
",CHASSI/PLACA,DATA DA REALIZAÇÃO DO SERVIÇO,OBSERVAÇÕES,SETOR,MÊS
02/04/2025 10:17:30,LAVAGEM SIMPLES,Png9485,18/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:18:20,LAVAGEM SIMPLES,Sax2j14,18/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:19:08,LAVAGEM SIMPLES,Sbk1c11,18/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:19:53,LAVAGEM SIMPLES,Tib4a48,18/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:20:30,LAVAGEM SIMPLES,Sbb0d17,18/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:21:14,LAVAGEM SIMPLES,Thp3e88,18/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:22:10,LAVAGEM SIMPLES,Sas5i91,18/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:22:39,LAVAGEM SIMPLES,Asa1j22,18/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:23:19,LAVAGEM SIMPLES,Pnl4f00,18/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:23:51,LAVAGEM SIMPLES,Sbo0f88,18/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:24:24,LAVAGEM SIMPLES,152703,18/03/2025,,VEICULO NOVO  (VN),março
02/04/2025 10:24:49,LAVAGEM SIMPLES,011405,18/03/2025,,VEICULO NOVO  (VN),março
02/04/2025 10:51:12,LAVAGEM SIMPLES,Sbl0b30,20/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:51:58,LAVAGEM SIMPLES,Sat6d17,20/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:52:49,LAVAGEM SIMPLES,Sba2d20,20/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:53:22,LAVAGEM SIMPLES,Sbn4c92,20/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:54:00,LAVAGEM SIMPLES,Sbc2b19,20/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:54:39,LAVAGEM SIMPLES,Thw9j98,20/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:55:33,LAVAGEM SIMPLES,Sbf6a91,20/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:56:32,LAVAGEM SIMPLES,Sbg9i48,20/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:57:10,LAVAGEM SIMPLES,Sef6b67,20/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 10:58:19,LAVAGEM ESPECIAL,Poz4a63,20/03/2025,,VEICULO USADO  (VU),março
02/04/2025 10:58:57,LAVAGEM SIMPLES,209961,20/03/2025,,VEICULO NOVO  (VN),março
02/04/2025 10:59:33,LAVAGEM SIMPLES,209539,20/03/2025,,VEICULO NOVO  (VN),março
02/04/2025 11:00:05,LAVAGEM SIMPLES,111544,20/03/2025,,VEICULO NOVO  (VN),março
02/04/2025 11:01:10,LAVAGEM SIMPLES,175900,20/03/2025,,VEICULO NOVO  (VN),março
02/04/2025 11:01:42,LAVAGEM SIMPLES,179150,20/03/2025,,VEICULO NOVO  (VN),março
02/04/2025 11:02:55,LAVAGEM SIMPLES,089671,20/03/2025,,VEICULO NOVO  (VN),março
02/04/2025 11:07:36,LAVAGEM SIMPLES,Sbt7b73,21/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 11:08:09,LAVAGEM SIMPLES,Saq8g44,21/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 11:08:42,LAVAGEM SIMPLES,Sba4i88,21/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 11:09:25,LAVAGEM SIMPLES,Ric0d81,21/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 11:10:01,LAVAGEM SIMPLES,Pou4b45,21/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 11:10:48,LAVAGEM SIMPLES,Sbr6416,21/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 11:11:28,LAVAGEM SIMPLES,Thn1f99,21/03/2025,,CARRO DE OFICINA (CT),março
